kappa,a,grid_role,sigma,level,hmax,h_mean,h_mean_over_hmax,fixed_step,fit_x,rmse_EA,rmse_EF,rmse_IF,rmse_SIA,rmse_FT,fixed_landing_count,ef_negative_before_count,ef_negative_after_count,ft_negative_before_count,ft_negative_after_count,ef_negative_before_proportion,ef_negative_after_proportion,ft_negative_before_proportion,ft_negative_after_proportion
2.0,0.0,a0_diagnostic,0.0,4,0.0625,0.008849557522123899,0.14159292035398238,0.0625,0.0625,0.0002191719461084666,0.0008600576981242297,0.0015935255334498378,8.311300202635404e-05,0.0008600576981242297,1600,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.0,a0_diagnostic,0.0,5,0.03125,0.0044247787610619494,0.14159292035398238,0.03125,0.03125,0.00011149450850675424,0.00042746141007896093,0.0008275555884894454,4.316108236122883e-05,0.00042746141007896093,3200,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.0,a0_diagnostic,0.0,6,0.015625,0.0022172949002217295,0.1419068736141907,0.015625,0.015625,5.75500747876795e-05,0.00021441720344580337,0.0004253034958307465,2.3318943428676797e-05,0.00021441720344580337,6400,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.0,a0_diagnostic,0.0,7,0.0078125,0.0011098779134295226,0.1420643729189789,0.0078125,0.0078125,3.055896876894698e-05,0.00010871313554759734,0.00021592528777591985,1.3427213881651856e-05,0.00010871313554759734,12800,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.0,a0_diagnostic,0.0,8,0.00390625,0.0005555234913674866,0.14221401379007656,0.00390625,0.00390625,1.6285366340268448e-05,5.6065871730251467e-05,0.00010792208980466014,8.488730210635951e-06,5.6065871730251467e-05,25600,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.0,a0_diagnostic,0.0,9,0.001953125,0.0002777777777777778,0.14222222222222222,0.001953125,0.001953125,1.0307017241903414e-05,2.9793448022320812e-05,5.272320178719564e-05,5.37522173369581e-06,2.9793448022320812e-05,51200,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.04,paper_grid,0.08944271909999159,4,0.0625,0.008656747002693447,0.13850795204309516,0.0625,0.0625,0.0002471747752930843,0.0011268179684387058,0.0017260400912447159,9.907140308889153e-05,0.0011268179684387058,1600,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.04,paper_grid,0.08944271909999159,5,0.03125,0.004344483215592965,0.13902346289897488,0.03125,0.03125,0.00012143615308792753,0.0006139603603202728,0.0009134859223403979,5.383514589745755e-05,0.0006139603603202728,3200,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.04,paper_grid,0.08944271909999159,6,0.015625,0.002175935499357755,0.13925987195889633,0.015625,0.015625,6.842978292233783e-05,0.0003478600611394718,0.00045562352386557836,3.290632972246867e-05,0.0003478600611394718,6400,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.04,paper_grid,0.08944271909999159,7,0.0078125,0.0010888241278260522,0.13936948836173468,0.0078125,0.0078125,4.0861131901644914e-05,0.00017674033435273646,0.00024440205724730234,8.435826641761317e-05,0.00017674033435273646,12800,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.04,paper_grid,0.08944271909999159,8,0.00390625,0.0005446167764416693,0.13942189476906733,0.00390625,0.00390625,3.955893283961896e-05,0.00010957719507834547,0.00011980586719422039,6.115161327759007e-05,0.00010957719507834547,25600,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.04,paper_grid,0.08944271909999159,9,0.001953125,0.00027237231131616013,0.139454623393874,0.001953125,0.001953125,0.00011943885353903138,6.545008260933271e-05,5.673717520912052e-05,9.463978121662859e-05,6.545008260933271e-05,51200,0,0,0,0,0.0,0.0,0.0,0.0
2.0,0.8200000000000001,paper_grid,0.4049691346263318,4,0.0625,0.006267309702553245,0.10027695524085192,0.0625,0.0625,0.0004297732489700564,0.010264885194448294,0.004368124953394184,0.00033979052196006694,0.008689275156906455,1600,89,96,83,89,0.055625,0.06,0.051875,0.055625
2.0,0.8200000000000001,paper_grid,0.4049691346263318,5,0.03125,0.003146900108886985,0.10070080348438352,0.03125,0.03125,0.00022297417276600484,0.007411754372209113,0.0023374579082769335,0.0002036146174088088,0.0068943820798952615,3200,132,137,105,109,0.04125,0.0428125,0.0328125,0.0340625
2.0,0.8200000000000001,paper_grid,0.4049691346263318,6,0.015625,0.0015771164889405046,0.10093545529219229,0.015625,0.015625,0.00013993408715805305,0.004714972154847135,0.001176735413987494,8.080644536098977e-05,0.004919089507521782,6400,178,180,149,150,0.0278125,0.028125,0.02328125,0.0234375
2.0,0.8200000000000001,paper_grid,0.4049691346263318,7,0.0078125,0.000789451918170949,0.10104984552588148,0.0078125,0.0078125,0.0001512036357879415,0.0031451393047300063,0.0006603937543770462,0.00022036099517472408,0.0031072393633678175,12800,203,204,165,166,0.015859375,0.0159375,0.012890625,0.01296875
2.0,0.8200000000000001,paper_grid,0.4049691346263318,8,0.00390625,0.00040231166074554766,0.1029917851508602,0.00390625,0.00390625,0.0003072560098957817,0.0019847152149913517,0.00033121872938082113,0.00029982664795786277,0.002039108354740129,25600,201,201,155,155,0.0078515625,0.0078515625,0.0060546875,0.0060546875
2.0,0.8200000000000001,paper_grid,0.4049691346263318,9,0.001953125,0.0002118555121482995,0.10847002221992934,0.001953125,0.001953125,0.0010183225302551773,0.0012573568841551229,0.00015883717985558425,0.0009422261904278808,0.0012668671770727459,51200,197,197,164,164,0.00384765625,0.00384765625,0.003203125,0.003203125
2.0,1.6,paper_grid,0.5656854249492381,4,0.0625,0.00441555103789158,0.07064881660626528,0.0625,0.0625,0.0006083435539592044,0.020877493762263232,0.008522120785976358,0.0007473081463611566,0.020031920678923582,1600,234,248,228,240,0.14625,0.155,0.1425,0.15
2.0,1.6,paper_grid,0.5656854249492381,5,0.03125,0.0022262294421831396,0.07123934214986047,0.03125,0.03125,0.0002787223133342401,0.016159830300637987,0.0054400373249275,0.0003829012301390171,0.01329511942981903,3200,343,353,305,313,0.1071875,0.1103125,0.0953125,0.0978125
2.0,1.6,paper_grid,0.5656854249492381,6,0.015625,0.0011200709473910464,0.07168454063302697,0.015625,0.015625,0.00023711708458175166,0.011113298529367646,0.00334273279897869,0.00025397454778672144,0.0104733783372848,6400,648,656,543,551,0.10125,0.1025,0.08484375,0.08609375
2.0,1.6,paper_grid,0.5656854249492381,7,0.0078125,0.000562230664930934,0.07196552511115956,0.0078125,0.0078125,0.00016465014518454187,0.008746438979046417,0.002074381287595044,0.000130861591189386,0.008196939479205636,12800,1059,1063,800,803,0.082734375,0.083046875,0.0625,0.062734375
2.0,1.6,paper_grid,0.5656854249492381,8,0.00390625,0.0003083634304096899,0.07894103818488062,0.00390625,0.00390625,0.0004765686800787794,0.006603947143847567,0.0012578204696408642,0.0004416469483769281,0.005599831555214901,25600,1443,1447,1098,1103,0.0563671875,0.0565234375,0.042890625,0.0430859375
2.0,1.6,paper_grid,0.5656854249492381,9,0.001953125,0.00018134083530573717,0.09284650767653743,0.001953125,0.001953125,0.0028674556303131785,0.002794893567238081,0.0008116006834740596,0.0030683110333549002,0.002870089111902179,51200,1941,1944,1560,1560,0.03791015625,0.03796875,0.03046875,0.03046875
0.2,0.0,a0_diagnostic,0.0,4,0.0625,0.0037174721189591063,0.0594795539033457,0.0625,0.0625,2.3875450797303594e-05,5.2037256735002625e-05,0.0004071900522531115,2.0416394810372426e-05,5.2037256735002625e-05,1600,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.0,a0_diagnostic,0.0,5,0.03125,0.0018621973929236497,0.05959031657355679,0.03125,0.03125,1.2374991105795414e-05,2.6360089582658577e-05,0.00021271338918774958,1.064599270623849e-05,2.6360089582658577e-05,3200,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.0,a0_diagnostic,0.0,6,0.015625,0.0009328358208955219,0.059701492537313404,0.015625,0.015625,6.626323712620105e-06,1.3596017661935553e-05,0.00010872673115418921,5.762491413988798e-06,1.3596017661935553e-05,6400,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.0,a0_diagnostic,0.0,7,0.0078125,0.00046641791044776097,0.059701492537313404,0.0078125,0.0078125,3.753130482555753e-06,7.232465546833099e-06,5.469660223668405e-05,3.321318733776058e-06,7.232465546833099e-06,12800,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.0,a0_diagnostic,0.0,8,0.00390625,0.00023326335432703537,0.059715418707721055,0.00390625,0.00390625,2.3170932035004167e-06,4.055292602883968e-06,2.7111678741831638e-05,2.1011990932965495e-06,4.055292602883968e-06,25600,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.0,a0_diagnostic,0.0,9,0.001953125,0.00011341809284445867,0.05807006353636284,0.001953125,0.001953125,0.000578191111418543,2.4678546883018238e-06,1.316767089655155e-05,0.000578331439055578,2.4678546883018238e-06,51200,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.04,paper_grid,0.028284271247461905,4,0.0625,0.003655823960651693,0.05849318337042709,0.0625,0.0625,2.3371728793498115e-05,0.00011663550182875219,0.0004052765513933369,1.968581643556984e-05,0.00011663550182875219,1600,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.04,paper_grid,0.028284271247461905,5,0.03125,0.0018309033288218869,0.05858890652230038,0.03125,0.03125,1.1920557969367806e-05,6.251297526479671e-05,0.00021393312593137037,1.1142946705445853e-05,6.251297526479671e-05,3200,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.04,paper_grid,0.028284271247461905,6,0.015625,0.0009161536850220138,0.05863383584140888,0.015625,0.015625,6.734962463990315e-06,3.584633270554606e-05,0.00010766994112264285,6.947815675543271e-06,3.584633270554606e-05,6400,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.04,paper_grid,0.028284271247461905,7,0.0078125,0.00045825414921296306,0.05865653109925927,0.0078125,0.0078125,1.448535403601121e-05,2.4239434823932475e-05,5.375866027238485e-05,9.49952901592595e-06,2.4239434823932475e-05,12800,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.04,paper_grid,0.028284271247461905,8,0.00390625,0.0002291453936370174,0.05866122077107645,0.00390625,0.00390625,2.1771503961615937e-05,1.551630251597437e-05,2.6387265172398725e-05,2.095046409966693e-05,1.551630251597437e-05,25600,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.04,paper_grid,0.028284271247461905,9,0.001953125,0.00010935262960957378,0.055988546360101775,0.001953125,0.001953125,0.001051101317312092,1.1904374320277645e-05,1.2805649566391866e-05,0.0010513963833073856,1.1904374320277645e-05,51200,0,0,0,0,0.0,0.0,0.0,0.0
0.2,0.8200000000000001,paper_grid,0.128062484748657,4,0.0625,0.00289389248774813,0.04630227980397008,0.0625,0.0625,2.87784541988585e-05,0.0017283511711551622,0.0006591733744578687,2.036603639162214e-05,0.0017002799651667927,1600,64,67,50,51,0.04,0.041875,0.03125,0.031875
0.2,0.8200000000000001,paper_grid,0.128062484748657,5,0.03125,0.001449835515014438,0.046394736480462016,0.03125,0.03125,3.282661332461308e-05,0.0009788649582910401,0.0003682039748649282,1.0016419982062615e-05,0.0010557433720151878,3200,77,77,71,71,0.0240625,0.0240625,0.0221875,0.0221875
0.2,0.8200000000000001,paper_grid,0.128062484748657,6,0.015625,0.0007256130256004734,0.0464392336384303,0.015625,0.015625,1.7696069820820998e-05,0.0007076649633000122,0.00018588106443972135,3.257405315119247e-05,0.0007691084055299944,6400,101,101,89,89,0.01578125,0.01578125,0.01390625,0.01390625
0.2,0.8200000000000001,paper_grid,0.128062484748657,7,0.0078125,0.00036296722449833703,0.04645980473578714,0.0078125,0.0078125,3.572703403588634e-05,0.0005129664084734373,9.097716175598475e-05,4.15058181549854e-05,0.0005269764998810807,12800,87,87,73,73,0.006796875,0.006796875,0.005703125,0.005703125
0.2,0.8200000000000001,paper_grid,0.128062484748657,8,0.00390625,0.00019013899986002777,0.04867558396416711,0.00390625,0.00390625,0.0002542853265825779,0.0003537766317785572,4.4284801956115405e-05,0.00024689214025127275,0.00035955050171189874,25600,99,99,78,78,0.0038671875,0.0038671875,0.003046875,0.003046875
0.2,0.8200000000000001,paper_grid,0.128062484748657,9,0.001953125,9.615899088002786e-05,0.049233403330574264,0.001953125,0.001953125,0.0014729263443546377,0.00027295788667377487,2.440588604523754e-05,0.0014749936400100811,0.000277495541480093,51200,109,109,84,84,0.00212890625,0.00212890625,0.001640625,0.001640625
0.2,1.6,paper_grid,0.1788854381999832,4,0.0625,0.0024711144574948584,0.039537831319917734,0.0625,0.0625,6.958439076360363e-05,0.003990564826428645,0.0011977704472505353,0.00010290944619929385,0.004055920526096776,1600,174,188,165,176,0.10875,0.1175,0.103125,0.11
0.2,1.6,paper_grid,0.1788854381999832,5,0.03125,0.001239742582613766,0.039671762643640515,0.03125,0.03125,5.6687574344002555e-05,0.0025607192840483373,0.0007562245327591695,3.7828911065187266e-05,0.002195385023901945,3200,363,374,260,267,0.1134375,0.116875,0.08125,0.0834375
0.2,1.6,paper_grid,0.1788854381999832,6,0.015625,0.0006209843047220216,0.03974299550220938,0.015625,0.015625,2.2059633906803256e-05,0.0017211738637506607,0.0004883873104815357,3.1014502878900005e-05,0.0017826639683319182,6400,541,546,414,417,0.08453125,0.0853125,0.0646875,0.06515625
0.2,1.6,paper_grid,0.1788854381999832,7,0.0078125,0.00031093476574326514,0.03979965001513794,0.0078125,0.0078125,3.8581702157932595e-05,0.0012238300863074362,0.00028952682787196696,4.7207419409633e-05,0.0014439133341441065,12800,713,717,569,570,0.055703125,0.056015625,0.044453125,0.04453125
0.2,1.6,paper_grid,0.1788854381999832,8,0.00390625,0.00017423911841916184,0.04460521431530543,0.00390625,0.00390625,0.00016862613392071852,0.0009058682686931715,0.0002187529972180679,0.00018072514366470862,0.0008421630652673947,25600,1073,1077,780,782,0.0419140625,0.0420703125,0.03046875,0.030546875
0.2,1.6,paper_grid,0.1788854381999832,9,0.001953125,9.63321998393032e-05,0.04932208631772324,0.001953125,0.001953125,0.0007639001660249698,0.0005387737586956411,9.443672314582462e-05,0.0007418133395074856,0.0005766183172884995,51200,1558,1558,1180,1181,0.0304296875,0.0304296875,0.023046875,0.02306640625
