sensitivity_kind,regime,scheme,scheme_variant,reference,reference_n_steps,dt,l1,l2,runtime_s,mean_steps_per_path,backstop_fraction
strong_error,A,FTE,fixed,HH,4096,0.125,0.0008654476673608327,0.0011087917303397514,0.2029362300000912,8.0,0.0
strong_error,A,FTE,fixed,HH,4096,0.0625,0.0004892508928670578,0.0006230516519299268,0.1540607890000274,16.0,0.0
strong_error,A,FTE,fixed,HH,4096,0.03125,0.00029788062604923805,0.000378894504614663,0.15673582599993097,32.0,0.0
strong_error,A,FTE,fixed,HH,4096,0.015625,0.0001975139354894966,0.00024832288941965537,0.16074453999999605,64.0,0.0
strong_error,A,FTE,fixed,HH,4096,0.0078125,0.0001327168556204168,0.0001675968301640949,0.16253567499995825,128.0,0.0
strong_error,A,FTE,fixed,HH,4096,0.00390625,9.030834151784115e-05,0.00011490686516332998,0.15978449099998215,256.0,0.0
strong_error,A,ProjEuler,fixed,HH,4096,0.125,0.0007027474153843489,0.0009086458780277819,0.10618745199997193,8.0,0.0
strong_error,A,ProjEuler,fixed,HH,4096,0.0625,0.00033285734265494884,0.0004329225722441449,0.09125984599995718,16.0,0.0
strong_error,A,ProjEuler,fixed,HH,4096,0.03125,0.00016036647681833476,0.00020693926226643834,0.09299525899996297,32.0,0.0
strong_error,A,ProjEuler,fixed,HH,4096,0.015625,7.759190990641158e-05,0.00010116230017725471,0.09384169100007966,64.0,0.0
strong_error,A,ProjEuler,fixed,HH,4096,0.0078125,3.8252959826656176e-05,4.9939113923388136e-05,0.09563013900003625,128.0,0.0
strong_error,A,ProjEuler,fixed,HH,4096,0.00390625,1.8842882593168008e-05,2.4242909684112603e-05,0.10137155799998254,256.0,0.0
strong_error,A,KL,uniform,HH,4096,0.125,0.0020861405996878656,0.002186349552758862,0.09306944299999032,8.0,0.0
strong_error,A,KL,uniform,HH,4096,0.0625,0.0010656887095051649,0.001116052278426261,0.08827789000008579,16.0,0.0
strong_error,A,KL,uniform,HH,4096,0.03125,0.0005358817305525696,0.0005595897675759897,0.0916561180000599,32.0,0.0
strong_error,A,KL,uniform,HH,4096,0.015625,0.0002697207323213272,0.00028171486377973065,0.0913665640000545,64.0,0.0
strong_error,A,KL,uniform,HH,4096,0.0078125,0.00013489981226104584,0.00014092253080200354,0.09287071599999308,128.0,0.0
strong_error,A,KL,uniform,HH,4096,0.00390625,6.841843052290897e-05,7.15254167433858e-05,0.09114292200001728,256.0,0.0
strong_error,A,KLM,adaptive-backstop,HH,4096,0.125,8.531623546835687e-05,0.00011088458612974351,0.88852664500007,59.4005,0.0
strong_error,A,KLM,adaptive-backstop,HH,4096,0.0625,4.3184709966708875e-05,5.5769820756162166e-05,0.3978854230000479,119.169,0.0
strong_error,A,KLM,adaptive-backstop,HH,4096,0.03125,2.0513725031110986e-05,2.6623565469971563e-05,0.4106290720000061,241.4305,0.0
strong_error,A,KLM,adaptive-backstop,HH,4096,0.015625,9.624251840208709e-06,1.2324399736196412e-05,0.4499641300000121,497.731,0.0
strong_error,A,KLM,adaptive-backstop,HH,4096,0.0078125,4.226566745113293e-06,5.389409033675836e-06,0.4654686959999026,1066.299,0.0
strong_error,A,KLM,adaptive-backstop,HH,4096,0.00390625,1.450185873210499e-06,1.891802297758716e-06,0.5450621830000273,2505.391,0.00013391123381540046
strong_error,A,FTE,fixed,HH,16384,0.125,0.0008657917878579298,0.001109210739458863,0.09141975099998945,8.0,0.0
strong_error,A,FTE,fixed,HH,16384,0.0625,0.0004895550185589567,0.0006234371418023596,0.09198027699994782,16.0,0.0
strong_error,A,FTE,fixed,HH,16384,0.03125,0.00029808158008946535,0.00037920178670687387,0.09317687600002955,32.0,0.0
strong_error,A,FTE,fixed,HH,16384,0.015625,0.00019766920590913534,0.00024853433267470844,0.17910711099989385,64.0,0.0
strong_error,A,FTE,fixed,HH,16384,0.0078125,0.00013283412451743946,0.00016776457555674917,0.09341287199993076,128.0,0.0
strong_error,A,FTE,fixed,HH,16384,0.00390625,9.041169631258997e-05,0.00011503177228127055,0.0991404290000446,256.0,0.0
strong_error,A,ProjEuler,fixed,HH,16384,0.125,0.0007032487179338966,0.0009093186743839296,0.09259700199993404,8.0,0.0
strong_error,A,ProjEuler,fixed,HH,16384,0.0625,0.00033336879331351087,0.0004336222308993297,0.0926952769999616,16.0,0.0
strong_error,A,ProjEuler,fixed,HH,16384,0.03125,0.0001608850865169433,0.00020764898868470228,0.09194899100009479,32.0,0.0
strong_error,A,ProjEuler,fixed,HH,16384,0.015625,7.810437354384536e-05,0.00010188644127888596,0.0899357629999713,64.0,0.0
strong_error,A,ProjEuler,fixed,HH,16384,0.0078125,3.879146676928397e-05,5.066468769080635e-05,0.0946907380000539,128.0,0.0
strong_error,A,ProjEuler,fixed,HH,16384,0.00390625,1.9370846857751817e-05,2.4982078222446833e-05,0.09242158800009292,256.0,0.0
strong_error,A,KL,uniform,HH,16384,0.125,0.002086101207110649,0.002186114663157163,0.08780742299995836,8.0,0.0
strong_error,A,KL,uniform,HH,16384,0.0625,0.0010656493169279486,0.0011158376970053089,0.08877692999999454,16.0,0.0
strong_error,A,KL,uniform,HH,16384,0.03125,0.0005358423379753532,0.0005593774695878159,0.08896267700004046,32.0,0.0
strong_error,A,KL,uniform,HH,16384,0.015625,0.0002696813397441107,0.00028150830293717115,0.09243256900003871,64.0,0.0
strong_error,A,KL,uniform,HH,16384,0.0078125,0.00013486041968382973,0.00014071644041510856,0.0897546980000925,128.0,0.0
strong_error,A,KL,uniform,HH,16384,0.00390625,6.837903794569149e-05,7.132258989657715e-05,0.09373586300000625,256.0,0.0
strong_error,A,KLM,adaptive-backstop,HH,16384,0.125,8.780170035462326e-05,0.00011513097562943804,0.6344061820000206,59.082,0.0
strong_error,A,KLM,adaptive-backstop,HH,16384,0.0625,4.4341677904096486e-05,5.809062720400843e-05,0.40288744099996165,117.884,0.0
strong_error,A,KLM,adaptive-backstop,HH,16384,0.03125,2.198543246265825e-05,2.8649893624705175e-05,0.40755900099998144,236.1195,0.0
strong_error,A,KLM,adaptive-backstop,HH,16384,0.015625,1.0568969797902975e-05,1.3658566341495951e-05,0.4354314129999466,475.2405,0.0
strong_error,A,KLM,adaptive-backstop,HH,16384,0.0078125,5.184135697601088e-06,6.721629851552396e-06,0.45674930100005895,964.4745,0.0
strong_error,A,KLM,adaptive-backstop,HH,16384,0.00390625,2.4492381697883946e-06,3.1356615035583985e-06,0.520246066000027,1990.302,0.0
strong_error,A,FTE,fixed,HH,32768,0.125,0.0008658592046548151,0.0011092885040343717,0.09190516299997853,8.0,0.0
strong_error,A,FTE,fixed,HH,32768,0.0625,0.0004896150114573867,0.0006235098759649749,0.09399619999999231,16.0,0.0
strong_error,A,FTE,fixed,HH,32768,0.03125,0.00029812027963017885,0.00037925874534001144,0.09397349899995788,32.0,0.0
strong_error,A,FTE,fixed,HH,32768,0.015625,0.00019769844883669923,0.0002485711300779985,0.09393729800001438,64.0,0.0
strong_error,A,FTE,fixed,HH,32768,0.0078125,0.000132858642897411,0.00016779340361660616,0.09207996500003901,128.0,0.0
strong_error,A,FTE,fixed,HH,32768,0.00390625,9.042786347871246e-05,0.00011505243617969251,0.09452727600000799,256.0,0.0
strong_error,A,ProjEuler,fixed,HH,32768,0.125,0.0007033362001614407,0.0009094396330928822,0.09458004500004336,8.0,0.0
strong_error,A,ProjEuler,fixed,HH,32768,0.0625,0.00033345965439841884,0.0004337471630716965,0.09621266399994965,16.0,0.0
strong_error,A,ProjEuler,fixed,HH,32768,0.03125,0.000160975318209088,0.00020777818640695377,0.09563863599998967,32.0,0.0
strong_error,A,ProjEuler,fixed,HH,32768,0.015625,7.818662352186614e-05,0.00010201137880942401,0.09430164100001548,64.0,0.0
strong_error,A,ProjEuler,fixed,HH,32768,0.0078125,3.8885084555901856e-05,5.07974282649524e-05,0.0946270539999432,128.0,0.0
strong_error,A,ProjEuler,fixed,HH,32768,0.00390625,1.9466586577516038e-05,2.5117107071045545e-05,0.10055557900000167,256.0,0.0
strong_error,A,KL,uniform,HH,32768,0.125,0.0020860858333347876,0.002186066364289425,0.09035627599996587,8.0,0.0
strong_error,A,KL,uniform,HH,32768,0.0625,0.001065633943152087,0.0011157928372098633,0.09475857999996151,16.0,0.0
strong_error,A,KL,uniform,HH,32768,0.03125,0.0005358269641994916,0.0005593339384021269,0.09254314999998314,32.0,0.0
strong_error,A,KL,uniform,HH,32768,0.015625,0.00026966596596824933,0.0002814635429959329,0.0875975510000444,64.0,0.0
strong_error,A,KL,uniform,HH,32768,0.0078125,0.0001348450459079682,0.00014067458075224808,0.09103061100006471,128.0,0.0
strong_error,A,KL,uniform,HH,32768,0.00390625,6.836366416983099e-05,7.128169721948833e-05,0.09242973299990354,256.0,0.0
strong_error,A,KLM,adaptive-backstop,HH,32768,0.125,8.763542495466584e-05,0.00011387264969004906,0.6956236670000635,59.0335,0.0
strong_error,A,KLM,adaptive-backstop,HH,32768,0.0625,4.404266518390389e-05,5.736988656911492e-05,0.39094704800004365,117.658,0.0
strong_error,A,KLM,adaptive-backstop,HH,32768,0.03125,2.1335452204111503e-05,2.793697399857275e-05,0.4086973980000721,235.264,0.0
strong_error,A,KLM,adaptive-backstop,HH,32768,0.015625,1.0964935967707729e-05,1.4361283842361463e-05,0.42164289799995913,471.7465,0.0
strong_error,A,KLM,adaptive-backstop,HH,32768,0.0078125,5.286704427859865e-06,6.903952527518527e-06,0.4519473540000263,950.0195,0.0
strong_error,A,KLM,adaptive-backstop,HH,32768,0.00390625,2.5977854719266056e-06,3.413678626846981e-06,0.5215526750000663,1928.548,0.0
strong_error,C,FTE,fixed,HH,4096,0.125,0.0048639940317300664,0.006939881179903633,0.09205931799999689,8.0,0.0
strong_error,C,FTE,fixed,HH,4096,0.0625,0.0034182726633679495,0.0049755682488958715,0.09137299999997595,16.0,0.0
strong_error,C,FTE,fixed,HH,4096,0.03125,0.00231717214144536,0.003317785097337531,0.09458773800008657,32.0,0.0
strong_error,C,FTE,fixed,HH,4096,0.015625,0.0016183996433304622,0.0022063600816669086,0.09350529300002108,64.0,0.0
strong_error,C,FTE,fixed,HH,4096,0.0078125,0.0011266141464084743,0.001553532494784229,0.0989859719999231,128.0,0.0
strong_error,C,FTE,fixed,HH,4096,0.00390625,0.0007906303873908793,0.0010816953666504432,0.09814566099998956,256.0,0.0
strong_error,C,ProjEuler,fixed,HH,4096,0.125,0.002196725552626562,0.0031847848203242542,0.09612758299999768,8.0,0.0
strong_error,C,ProjEuler,fixed,HH,4096,0.0625,0.0011230878604526287,0.0016582686924358355,0.09362945899999886,16.0,0.0
strong_error,C,ProjEuler,fixed,HH,4096,0.03125,0.0005840038834823818,0.0008845068470432967,0.0929689289999942,32.0,0.0
strong_error,C,ProjEuler,fixed,HH,4096,0.015625,0.0003125662179602651,0.0004862584643348219,0.09701460500002668,64.0,0.0
strong_error,C,ProjEuler,fixed,HH,4096,0.0078125,0.0001656835355737704,0.0002748061555479024,0.09498028799998792,128.0,0.0
strong_error,C,ProjEuler,fixed,HH,4096,0.00390625,8.823942333474186e-05,0.00015623757484380156,0.09397738099994513,256.0,0.0
strong_error,C,KL,uniform,HH,4096,0.125,0.002215626296145417,0.0030502767394252773,0.09176131799995346,8.0,0.0
strong_error,C,KL,uniform,HH,4096,0.0625,0.0011710272676707864,0.0016156074283860304,0.09214493299998594,16.0,0.0
strong_error,C,KL,uniform,HH,4096,0.03125,0.0006151734320967458,0.0008527764728066127,0.0942805419999786,32.0,0.0
strong_error,C,KL,uniform,HH,4096,0.015625,0.00031423257610799747,0.0004363087584210933,0.09044788900007461,64.0,0.0
strong_error,C,KL,uniform,HH,4096,0.0078125,0.00016368242914219371,0.00023245080243361216,0.09310772399999223,128.0,0.0
strong_error,C,KL,uniform,HH,4096,0.00390625,8.159830448966238e-05,0.00011657171856358197,0.08881646499992257,256.0,0.0
strong_error,C,KLM,adaptive-backstop,HH,4096,0.125,0.00018874403109029082,0.000300972091125243,0.40378115400005754,89.466,0.06454407260858874
strong_error,C,KLM,adaptive-backstop,HH,4096,0.0625,9.346282433220262e-05,0.00014229039229411144,0.41746264199991856,180.86,0.0597838106822957
strong_error,C,KLM,adaptive-backstop,HH,4096,0.03125,4.684180996953389e-05,7.304968671302429e-05,0.43307160699998803,372.3045,0.05564531183480189
strong_error,C,KLM,adaptive-backstop,HH,4096,0.015625,2.1234682928715742e-05,3.170202898031199e-05,0.47668413999997483,796.684,0.0506813240883462
strong_error,C,KLM,adaptive-backstop,HH,4096,0.0078125,1.2665424546826163e-05,2.017486520752529e-05,0.5322563649999665,1596.217,0.09724868235333918
strong_error,C,KLM,adaptive-backstop,HH,4096,0.00390625,9.145506597081279e-06,1.8418662945179505e-05,0.5556050390000564,2944.1255,0.19995801809399769
strong_error,C,FTE,fixed,HH,16384,0.125,0.004863372692723254,0.006938621432387877,0.09157861500000308,8.0,0.0
strong_error,C,FTE,fixed,HH,16384,0.0625,0.003417766399558536,0.004974587171421032,0.0936637749999818,16.0,0.0
strong_error,C,FTE,fixed,HH,16384,0.03125,0.0023168135560981246,0.0033173377823411555,0.09494664599992575,32.0,0.0
strong_error,C,FTE,fixed,HH,16384,0.015625,0.0016184298190330241,0.0022063737736601665,0.09437702100001388,64.0,0.0
strong_error,C,FTE,fixed,HH,16384,0.0078125,0.0011264125424945651,0.001553030059069477,0.09452592599996024,128.0,0.0
strong_error,C,FTE,fixed,HH,16384,0.00390625,0.0007899258495866001,0.0010807747913868433,0.09642617399993014,256.0,0.0
strong_error,C,ProjEuler,fixed,HH,16384,0.125,0.002198475427700747,0.0031882284147734053,0.09673027400003775,8.0,0.0
strong_error,C,ProjEuler,fixed,HH,16384,0.0625,0.00112494037142434,0.0016618262337480434,0.094004502999951,16.0,0.0
strong_error,C,ProjEuler,fixed,HH,16384,0.03125,0.0005856562329893943,0.0008873720433165197,0.09362655300003553,32.0,0.0
strong_error,C,ProjEuler,fixed,HH,16384,0.015625,0.00031465594814379004,0.0004893740637035513,0.09341498000003412,64.0,0.0
strong_error,C,ProjEuler,fixed,HH,16384,0.0078125,0.0001677142679467164,0.00027863391821555695,0.09369120400003794,128.0,0.0
strong_error,C,ProjEuler,fixed,HH,16384,0.00390625,9.028763714366847e-05,0.00016082960189065304,0.09455988299998808,256.0,0.0
strong_error,C,KL,uniform,HH,16384,0.125,0.002214832918138227,0.003047345800266767,0.09343475100001797,8.0,0.0
strong_error,C,KL,uniform,HH,16384,0.0625,0.0011702085972656138,0.0016126046131756814,0.0913263160000497,16.0,0.0
strong_error,C,KL,uniform,HH,16384,0.03125,0.0006141994931817119,0.0008491562992702673,0.09142997100002503,32.0,0.0
strong_error,C,KL,uniform,HH,16384,0.015625,0.000313412873280185,0.0004325732790519704,0.08828320400004941,64.0,0.0
strong_error,C,KL,uniform,HH,16384,0.0078125,0.00016299698853482208,0.00022961890509592432,0.09412973300004523,128.0,0.0
strong_error,C,KL,uniform,HH,16384,0.00390625,8.107765721516849e-05,0.00011453131550302623,0.0924324060000572,256.0,0.0
strong_error,C,KLM,adaptive-backstop,HH,16384,0.125,0.00019330957886555566,0.00028645761413734373,0.40316569700007676,88.5115,0.06498025680278834
strong_error,C,KLM,adaptive-backstop,HH,16384,0.0625,9.614724199407438e-05,0.00014908546298539527,0.4074138449999509,176.8975,0.06062832996509278
strong_error,C,KLM,adaptive-backstop,HH,16384,0.03125,4.8559720355904545e-05,7.69286423689018e-05,0.465477782999983,355.5895,0.05817803956528525
strong_error,C,KLM,adaptive-backstop,HH,16384,0.015625,2.3822867612444677e-05,3.63636948125258e-05,0.4698424870000508,721.0905,0.05600337266958863
strong_error,C,KLM,adaptive-backstop,HH,16384,0.0078125,1.1932925738623903e-05,1.8831022002537318e-05,0.5603825749999487,1487.7395,0.05360582279357374
strong_error,C,KLM,adaptive-backstop,HH,16384,0.00390625,5.7537989276897735e-06,8.726298234840418e-06,0.7574178699999266,3191.913,0.049575286043197296
strong_error,C,FTE,fixed,HH,32768,0.125,0.0048632708107112215,0.006938461596419282,0.09613475800006199,8.0,0.0
strong_error,C,FTE,fixed,HH,32768,0.0625,0.0034176748366241015,0.004974411150678442,0.09588572999996359,16.0,0.0
strong_error,C,FTE,fixed,HH,32768,0.03125,0.0023167879921704945,0.003317181588552783,0.09728120600004786,32.0,0.0
strong_error,C,FTE,fixed,HH,32768,0.015625,0.001618268336753461,0.002206189594584856,0.09610896499998489,64.0,0.0
strong_error,C,FTE,fixed,HH,32768,0.0078125,0.0011263649957713464,0.0015529695518317647,0.21616422399995372,128.0,0.0
strong_error,C,FTE,fixed,HH,32768,0.00390625,0.000789893959255309,0.0010807187007712275,0.10304036599995925,256.0,0.0
strong_error,C,ProjEuler,fixed,HH,32768,0.125,0.0021986647438907545,0.003188712240093969,0.09926125600009073,8.0,0.0
strong_error,C,ProjEuler,fixed,HH,32768,0.0625,0.0011252143805812965,0.001662362642500352,0.09803852500010635,16.0,0.0
strong_error,C,ProjEuler,fixed,HH,32768,0.03125,0.0005859897216206883,0.0008879224831935243,0.09585083899992242,32.0,0.0
strong_error,C,ProjEuler,fixed,HH,32768,0.015625,0.00031505410700565363,0.0004900056239795756,0.09575982800004113,64.0,0.0
strong_error,C,ProjEuler,fixed,HH,32768,0.0078125,0.0001681971022356707,0.0002795345599288631,0.0991516799999772,128.0,0.0
strong_error,C,ProjEuler,fixed,HH,32768,0.00390625,9.070239407432046e-05,0.0001617400319792368,0.10161006200007705,256.0,0.0
strong_error,C,KL,uniform,HH,32768,0.125,0.002214620185944071,0.003046737717169027,0.09536171399997784,8.0,0.0
strong_error,C,KL,uniform,HH,32768,0.0625,0.0011700110372203272,0.0016119792050372575,0.09113010900000518,16.0,0.0
strong_error,C,KL,uniform,HH,32768,0.03125,0.0006140404289472991,0.000848526418312401,0.09513552700002492,32.0,0.0
strong_error,C,KL,uniform,HH,32768,0.015625,0.0003133070965027434,0.00043200281737454615,0.09597721199997977,64.0,0.0
strong_error,C,KL,uniform,HH,32768,0.0078125,0.0001629270154263389,0.00022934716068968844,0.09768108200000825,128.0,0.0
strong_error,C,KL,uniform,HH,32768,0.00390625,8.11003707356611e-05,0.00011440935036202094,0.09588398000005327,256.0,0.0
strong_error,C,KLM,adaptive-backstop,HH,32768,0.125,0.0001929958124705457,0.0002899699813595176,0.4097868679999692,88.3355,0.064611622733782
strong_error,C,KLM,adaptive-backstop,HH,32768,0.0625,9.501700645302975e-05,0.0001442596614748394,0.42442518500001825,176.224,0.06057063737061921
strong_error,C,KLM,adaptive-backstop,HH,32768,0.03125,4.8070066483114965e-05,7.442605364917853e-05,0.4447420470000907,352.939,0.058361359895052686
strong_error,C,KLM,adaptive-backstop,HH,32768,0.015625,2.39608199012621e-05,3.630608118708559e-05,0.47642679700004464,710.339,0.05687636466532177
strong_error,C,KLM,adaptive-backstop,HH,32768,0.0078125,1.1939368058661443e-05,1.8382610521111603e-05,0.5643977099999802,1441.451,0.055339029908057925
strong_error,C,KLM,adaptive-backstop,HH,32768,0.00390625,5.803961492788438e-06,8.708051970762916e-06,0.7358928959999957,2975.564,0.05320789604928679
strong_error,D,FTE,fixed,HH,4096,0.125,0.012260089138848965,0.020813122157539485,0.09499974699997438,8.0,0.0
strong_error,D,FTE,fixed,HH,4096,0.0625,0.009766307217281705,0.016666257158273072,0.09543040599999131,16.0,0.0
strong_error,D,FTE,fixed,HH,4096,0.03125,0.007496360245060067,0.012950810010317561,0.09529006700006448,32.0,0.0
